Specialty,Score Type,Total Questions,Difficulty,qwen2.5-14b-cpu,qwen3-8b-cpu,gemma3-12b-cpu,phi4-latest-cpu,phi4-14b-cpu,qwen2.5-7b-cpu,hf.co_mradermacher_MiniCPM4-8B-GGUF-latest-cpu,notus-latest-cpu,qwen2.5-1.5b-cpu,gemma2-9b-cpu,zephyr-7b-cpu,Elixpo_LlamaMedicine-latest-cpu,qwen2.5-3b-cpu,llama3.1-8b-cpu,mistral-nemo-12b-cpu,qwen2-7b-cpu,hf.co_unsloth_medgemma-4b-it-GGUF-latest-cpu,thewindmom_llama3-med42-8b-latest-cpu,llama3-8b-cpu,llava-phi3-latest-cpu,neural-chat-latest-cpu,qwen-7b-cpu,gemma3-4b-cpu,gemma2-2b-cpu,potaTOES33_healthmateai-latest-cpu,mistral-7b-instruct-cpu,dolphin-llama3-8b-cpu,minicpm-v-8b-cpu,glm4-9b-cpu,mistral-openorca-latest-cpu,llama3-chatqa-8b-cpu,llava-7b-cpu,dolphin3-8b-cpu,dolphin3-latest-cpu,qwen-4b-cpu,hf.co_mradermacher_JSL-MedMNX-7B-GGUF-latest-cpu,llama3.2-3b-cpu,gemma-7b-cpu,orca-mini-7b-cpu,dolphin-mistral-7b-cpu,qwen3-4b-cpu,qwen3-1.7b-cpu,qwen-1.8b-cpu,wizardlm2-7b-cpu,llama-pro-latest-cpu,hf.co_mradermacher_JSL-MedLlama-3-8B-v9-GGUF-latest-cpu,qwen2-1.5b-cpu,smollm2-360m-cpu,gemma3-1b-cpu,llama2-7b-cpu,phi3-3.8b-cpu,llama2-latest-cpu,stablelm-zephyr-3b-cpu,qwen2.5-0.5b-cpu,deepseek-r1-8b-cpu,qwen-0.5b-cpu,qwen3-0.6b-cpu,smollm2-1.7b-cpu,phi-latest-cpu,phi4-mini-3.8b-cpu,hf.co_mradermacher_DeepSeek-R1-Health-Risk-COT3-GGUF-latest-cpu,xwinlm-latest-cpu,deepseek-r1-7b-cpu,orca-mini-3b-cpu,qwen2-0.5b-cpu,orca-mini-latest-cpu,wizard-vicuna-uncensored-7b-cpu,medllama2-latest-cpu,mdubu_saaam_is_a_doctor-latest-cpu,gemma-2b-cpu,deepseek-r1-1.5b-cpu,llama3.2-1b-cpu,z-uo_llava-med-v1.5-mistral-7b_q8_0-latest-cpu,exaone-deep-7.8b-cpu,deepscaler-latest-cpu,tinyllama-latest-cpu,falcon-7b-cpu,smollm2-135m-cpu,hf.co_mradermacher_Qwen3_4B_healthcare_exercise_model-i1-GGUF-latest-cpu,moondream-v2-cpu,moondream-1.8b-cpu,hf.co_unsloth_DeepSeek-R1-0528-Qwen3-8B-GGUF-latest-cpu,exaone-deep-2.4b-cpu,monotykamary_medichat-llama3-latest-cpu,tinydolphin-latest-cpu,hf.co_mradermacher_medgemma-4b-pt-GGUF-latest-cpu,taozhiyuai_openbiollm-llama-3-8b_q8_0-cpu,mistral-7b-text-cpu,everythinglm-latest-cpu,meditron-latest-cpu,phi3.5-3.8b-cpu,meditron-7b-cpu,hf.co_mradermacher_JSL-Med-Phi-3.5-Mini-v3-GGUF-latest-cpu
Dermatology,General,20,Easy,95.0%,100.0%,100.0%,95.0%,95.0%,100.0%,95.0%,0.0%,85.0%,100.0%,0.0%,95.0%,70.0%,95.0%,95.0%,100.0%,100.0%,95.0%,90.0%,85.0%,100.0%,0.0%,100.0%,95.0%,0.0%,100.0%,100.0%,0.0%,95.0%,100.0%,85.0%,95.0%,90.0%,90.0%,0.0%,90.0%,95.0%,90.0%,0.0%,95.0%,95.0%,100.0%,0.0%,0.0%,80.0%,80.0%,90.0%,75.0%,80.0%,80.0%,95.0%,80.0%,80.0%,30.0%,95.0%,0.0%,75.0%,65.0%,0.0%,90.0%,80.0%,0.0%,75.0%,55.0%,35.0%,60.0%,0.0%,65.0%,55.0%,25.0%,45.0%,25.0%,0.0%,0.0%,0.0%,60.0%,50.0%,25.0%,40.0%,20.0%,20.0%,0.0%,0.0%,30.0%,20.0%,25.0%,0.0%,10.0%,0.0%,15.0%,0.0%,5.0%,0.0%
Dermatology,Vital,4,Easy,100.0%,100.0%,100.0%,75.0%,75.0%,100.0%,75.0%,0.0%,75.0%,100.0%,0.0%,75.0%,100.0%,75.0%,75.0%,100.0%,100.0%,100.0%,75.0%,50.0%,100.0%,0.0%,100.0%,75.0%,0.0%,100.0%,100.0%,0.0%,75.0%,100.0%,25.0%,75.0%,50.0%,50.0%,0.0%,100.0%,100.0%,50.0%,0.0%,75.0%,75.0%,100.0%,0.0%,0.0%,25.0%,75.0%,100.0%,0.0%,0.0%,0.0%,100.0%,0.0%,75.0%,50.0%,75.0%,0.0%,25.0%,75.0%,0.0%,100.0%,75.0%,0.0%,50.0%,0.0%,100.0%,25.0%,0.0%,0.0%,0.0%,100.0%,25.0%,75.0%,0.0%,0.0%,0.0%,25.0%,0.0%,0.0%,25.0%,50.0%,50.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,25.0%,0.0%
Dermatology,General,9,Mid,88.9%,0.0%,88.9%,0.0%,0.0%,88.9%,33.3%,0.0%,100.0%,0.0%,0.0%,0.0%,77.8%,11.1%,55.6%,11.1%,0.0%,44.4%,22.2%,66.7%,44.4%,0.0%,44.4%,44.4%,0.0%,11.1%,55.6%,0.0%,22.2%,22.2%,33.3%,22.2%,11.1%,33.3%,0.0%,0.0%,22.2%,22.2%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,11.1%,33.3%,0.0%,0.0%,11.1%,0.0%,0.0%,66.7%,0.0%,0.0%,11.1%,55.6%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,88.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,44.4%,11.1%,11.1%,11.1%,0.0%,0.0%,11.1%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Dermatology,Vital,9,Mid,88.9%,0.0%,88.9%,0.0%,0.0%,88.9%,33.3%,0.0%,100.0%,0.0%,0.0%,0.0%,77.8%,11.1%,55.6%,11.1%,0.0%,44.4%,22.2%,66.7%,44.4%,0.0%,44.4%,44.4%,0.0%,11.1%,55.6%,0.0%,22.2%,22.2%,33.3%,22.2%,11.1%,33.3%,0.0%,0.0%,22.2%,22.2%,0.0%,22.2%,0.0%,0.0%,0.0%,0.0%,33.3%,33.3%,11.1%,33.3%,0.0%,0.0%,11.1%,0.0%,0.0%,66.7%,0.0%,0.0%,11.1%,55.6%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,88.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,11.1%,0.0%,0.0%,0.0%,0.0%,0.0%,44.4%,11.1%,11.1%,11.1%,0.0%,0.0%,11.1%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Dietetic Clinical Cases,General,33,All,81.8%,3.0%,66.7%,84.8%,81.8%,66.7%,69.7%,45.5%,57.6%,63.6%,63.6%,66.7%,78.8%,63.6%,69.7%,42.4%,66.7%,78.8%,69.7%,81.8%,54.5%,57.6%,48.5%,51.5%,84.8%,42.4%,48.5%,63.6%,57.6%,48.5%,54.5%,51.5%,48.5%,54.5%,42.4%,57.6%,78.8%,45.5%,57.6%,60.6%,0.0%,9.1%,66.7%,45.5%,45.5%,69.7%,39.4%,27.3%,54.5%,30.3%,21.2%,29.4%,69.7%,45.5%,0.0%,30.3%,15.2%,69.7%,39.4%,54.5%,0.0%,30.3%,0.0%,54.5%,48.5%,51.5%,48.5%,42.4%,39.4%,39.4%,3.0%,69.7%,27.3%,0.0%,3.0%,27.3%,27.3%,33.3%,24.2%,66.7%,66.7%,0.0%,3.0%,39.4%,24.2%,12.1%,18.2%,15.2%,18.2%,18.2%,0.0%,9.1%,0.0%
Dietetic Clinical Cases,Vital,33,All,81.8%,3.0%,66.7%,84.8%,81.8%,66.7%,69.7%,45.5%,57.6%,63.6%,63.6%,66.7%,78.8%,63.6%,69.7%,42.4%,66.7%,78.8%,69.7%,81.8%,54.5%,57.6%,48.5%,51.5%,84.8%,42.4%,48.5%,63.6%,57.6%,48.5%,54.5%,51.5%,48.5%,54.5%,42.4%,57.6%,78.8%,45.5%,57.6%,60.6%,0.0%,9.1%,66.7%,45.5%,45.5%,69.7%,39.4%,27.3%,54.5%,30.3%,21.2%,29.4%,69.7%,45.5%,0.0%,30.3%,15.2%,69.7%,39.4%,54.5%,0.0%,30.3%,0.0%,54.5%,48.5%,51.5%,48.5%,42.4%,39.4%,39.4%,3.0%,69.7%,27.3%,0.0%,3.0%,27.3%,27.3%,33.3%,24.2%,66.7%,66.7%,0.0%,3.0%,39.4%,24.2%,12.1%,18.2%,15.2%,18.2%,18.2%,0.0%,9.1%,0.0%
Dietetic Clinical Cases,General,33,Mid,81.8%,3.0%,66.7%,84.8%,81.8%,66.7%,69.7%,45.5%,57.6%,63.6%,63.6%,66.7%,78.8%,63.6%,69.7%,42.4%,66.7%,78.8%,69.7%,81.8%,54.5%,57.6%,48.5%,51.5%,84.8%,42.4%,48.5%,63.6%,57.6%,48.5%,54.5%,51.5%,48.5%,54.5%,42.4%,57.6%,78.8%,45.5%,57.6%,60.6%,0.0%,9.1%,66.7%,45.5%,45.5%,69.7%,39.4%,27.3%,54.5%,30.3%,21.2%,29.4%,69.7%,45.5%,0.0%,30.3%,15.2%,69.7%,39.4%,54.5%,0.0%,30.3%,0.0%,54.5%,48.5%,51.5%,48.5%,42.4%,39.4%,39.4%,3.0%,69.7%,27.3%,0.0%,3.0%,27.3%,27.3%,33.3%,24.2%,66.7%,66.7%,0.0%,3.0%,39.4%,24.2%,12.1%,18.2%,15.2%,18.2%,18.2%,0.0%,9.1%,0.0%
Dietetic Clinical Cases,Vital,33,Mid,81.8%,3.0%,66.7%,84.8%,81.8%,66.7%,69.7%,45.5%,57.6%,63.6%,63.6%,66.7%,78.8%,63.6%,69.7%,42.4%,66.7%,78.8%,69.7%,81.8%,54.5%,57.6%,48.5%,51.5%,84.8%,42.4%,48.5%,63.6%,57.6%,48.5%,54.5%,51.5%,48.5%,54.5%,42.4%,57.6%,78.8%,45.5%,57.6%,60.6%,0.0%,9.1%,66.7%,45.5%,45.5%,69.7%,39.4%,27.3%,54.5%,30.3%,21.2%,29.4%,69.7%,45.5%,0.0%,30.3%,15.2%,69.7%,39.4%,54.5%,0.0%,30.3%,0.0%,54.5%,48.5%,51.5%,48.5%,42.4%,39.4%,39.4%,3.0%,69.7%,27.3%,0.0%,3.0%,27.3%,27.3%,33.3%,24.2%,66.7%,66.7%,0.0%,3.0%,39.4%,24.2%,12.1%,18.2%,15.2%,18.2%,18.2%,0.0%,9.1%,0.0%
Emergency Medicine,General,29,All,81.6%,82.9%,86.2%,58.6%,58.6%,75.9%,62.1%,0.0%,75.9%,65.5%,0.0%,51.7%,65.5%,51.7%,48.3%,65.5%,58.6%,69.0%,51.7%,72.4%,58.6%,0.0%,55.2%,55.2%,0.0%,65.5%,58.6%,0.0%,58.6%,48.3%,58.6%,58.6%,55.2%,51.7%,0.0%,58.6%,51.7%,55.2%,0.0%,51.7%,58.6%,48.3%,0.0%,0.0%,48.3%,55.2%,55.2%,48.3%,48.3%,48.3%,62.1%,48.3%,51.7%,65.5%,41.4%,0.0%,51.7%,48.3%,0.0%,48.3%,48.3%,0.0%,48.3%,27.6%,41.4%,41.4%,0.0%,41.4%,41.4%,34.5%,41.4%,20.7%,0.0%,0.0%,0.0%,31.0%,24.1%,17.2%,27.6%,27.6%,27.6%,0.0%,0.0%,24.1%,17.2%,17.2%,0.0%,3.4%,0.0%,0.0%,0.0%,3.4%,0.0%
Emergency Medicine,Vital,15,All,90.5%,76.9%,80.0%,33.3%,33.3%,66.7%,53.3%,0.0%,100.0%,33.3%,0.0%,26.7%,93.3%,26.7%,33.3%,33.3%,40.0%,60.0%,33.3%,53.3%,33.3%,0.0%,20.0%,20.0%,0.0%,33.3%,33.3%,0.0%,20.0%,13.3%,20.0%,33.3%,20.0%,13.3%,0.0%,46.7%,46.7%,26.7%,0.0%,33.3%,33.3%,33.3%,0.0%,0.0%,40.0%,66.7%,20.0%,6.7%,0.0%,0.0%,40.0%,0.0%,33.3%,93.3%,33.3%,0.0%,20.0%,60.0%,0.0%,33.3%,33.3%,0.0%,26.7%,0.0%,46.7%,26.7%,0.0%,0.0%,6.7%,40.0%,40.0%,40.0%,0.0%,0.0%,0.0%,13.3%,6.7%,0.0%,0.0%,26.7%,26.7%,0.0%,0.0%,6.7%,33.3%,13.3%,0.0%,0.0%,0.0%,0.0%,0.0%,6.7%,0.0%
Emergency Medicine,General,20,Easy,77.5%,85.0%,90.0%,85.0%,85.0%,85.0%,75.0%,0.0%,65.0%,95.0%,0.0%,75.0%,55.0%,75.0%,70.0%,95.0%,80.0%,80.0%,75.0%,85.0%,80.0%,0.0%,80.0%,70.0%,0.0%,90.0%,80.0%,0.0%,80.0%,70.0%,75.0%,75.0%,80.0%,75.0%,0.0%,75.0%,60.0%,80.0%,0.0%,65.0%,85.0%,70.0%,0.0%,0.0%,65.0%,55.0%,70.0%,65.0%,70.0%,70.0%,85.0%,70.0%,70.0%,55.0%,60.0%,0.0%,75.0%,50.0%,0.0%,70.0%,70.0%,0.0%,70.0%,40.0%,50.0%,40.0%,0.0%,60.0%,60.0%,50.0%,60.0%,25.0%,0.0%,0.0%,0.0%,45.0%,30.0%,25.0%,40.0%,40.0%,40.0%,0.0%,0.0%,35.0%,5.0%,25.0%,0.0%,5.0%,0.0%,0.0%,0.0%,5.0%,0.0%
Emergency Medicine,Vital,6,Easy,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,83.3%,0.0%,100.0%,83.3%,0.0%,66.7%,100.0%,66.7%,83.3%,83.3%,83.3%,83.3%,83.3%,66.7%,66.7%,0.0%,50.0%,16.7%,0.0%,66.7%,66.7%,0.0%,33.3%,33.3%,16.7%,50.0%,50.0%,33.3%,0.0%,83.3%,66.7%,66.7%,0.0%,50.0%,83.3%,83.3%,0.0%,0.0%,83.3%,83.3%,16.7%,0.0%,0.0%,0.0%,83.3%,0.0%,66.7%,100.0%,83.3%,0.0%,50.0%,83.3%,0.0%,83.3%,83.3%,0.0%,66.7%,0.0%,83.3%,0.0%,0.0%,0.0%,16.7%,100.0%,100.0%,83.3%,0.0%,0.0%,0.0%,33.3%,0.0%,0.0%,0.0%,66.7%,66.7%,0.0%,0.0%,16.7%,16.7%,33.3%,0.0%,0.0%,0.0%,0.0%,0.0%,16.7%,0.0%
